process_shortreads v2.62, executed 2023-02-13 17:06:45 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plates1_2_fastq/ -o /home/breitba1/scratch/step03_clean/plates1_2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-1.2_R2_2D2_R2_val_2.fq	2917635	178	0	0	0	2917813
40559-1.2_R2_2D3_R2_val_2.fq	2420322	213	0	0	0	2420535
40559-1.2_R2_2D4_R2_val_2.fq	2997885	206	0	0	0	2998091
40559-1.2_R2_2D5_R2_val_2.fq	5253395	191	0	0	0	5253586
40559-1.2_R2_2D6_R2_val_2.fq	4278273	168	0	0	0	4278441
40559-1.2_R2_2D7_R2_val_2.fq	4192815	156	0	0	0	4192971
40559-1.2_R2_2D8_R2_val_2.fq	3725384	151	0	0	0	3725535
40559-1.2_R2_2D9_R2_val_2.fq	3764099	142	0	0	0	3764241
40559-1.2_R2_2E10_R2_val_2.fq	3963440	138	0	0	0	3963578
40559-1.2_R2_2E11_R2_val_2.fq	3592588	151	0	0	0	3592739
40559-1.2_R2_2E1_R2_val_2.fq	2586772	174	0	0	0	2586946
40559-1.2_R2_2E2_R2_val_2.fq	1846151	129	0	0	0	1846280
40559-1.2_R2_2E3_R2_val_2.fq	3977682	282	0	0	0	3977964
40559-1.2_R2_2E4_R2_val_2.fq	4216412	288	0	0	0	4216700
40559-1.2_R2_2E5_R2_val_2.fq	1034690	35	0	0	0	1034725
40559-1.2_R2_2E6_R2_val_2.fq	3836274	118	0	0	0	3836392
40559-1.2_R2_2E7_R2_val_2.fq	1414659	59	0	0	0	1414718
40559-1.2_R2_2E8_R2_val_2.fq	2120711	74	0	0	0	2120785
40559-1.2_R2_2E9_R2_val_2.fq	2236166	72	0	0	0	2236238
40559-1.2_R2_2F10_R2_val_2.fq	2540830	110	0	0	0	2540940
40559-1.2_R2_2F11_R2_val_2.fq	2396285	80	0	0	0	2396365
40559-1.2_R2_2F1_R2_val_2.fq	1288183	76	0	0	0	1288259
40559-1.2_R2_2F2_R2_val_2.fq	1463004	109	0	0	0	1463113
40559-1.2_R2_2F3_R2_val_2.fq	2232575	170	0	0	0	2232745
40559-1.2_R2_2F4_R2_val_2.fq	2312081	134	0	0	0	2312215
40559-1.2_R2_2F5_R2_val_2.fq	2921877	113	0	0	0	2921990
40559-1.2_R2_2F6_R2_val_2.fq	3024136	116	0	0	0	3024252
40559-1.2_R2_2F7_R2_val_2.fq	1484462	54	0	0	0	1484516
40559-1.2_R2_2F8_R2_val_2.fq	1633084	71	0	0	0	1633155
40559-1.2_R2_2F9_R2_val_2.fq	3667047	137	0	0	0	3667184
40559-1.2_R2_2G10_R2_val_2.fq	2903443	120	0	0	0	2903563
40559-1.2_R2_2G1_R2_val_2.fq	1387830	91	0	0	0	1387921
40559-1.2_R2_2G2_R2_val_2.fq	2103795	133	0	0	0	2103928
40559-1.2_R2_2G3_R2_val_2.fq	2533207	165	0	0	0	2533372
40559-1.2_R2_2G4_R2_val_2.fq	2737752	194	0	0	0	2737946
